throttle,steer,brake,lane_change,speed_adjustment
0.9999990463256836,-1.0,-0.9999998807907104,-0.9999999403953552,-0.9974826574325562
0.9999999403953552,-1.0,1.0,-1.0,-0.9999998807907104
-1.0,-0.9999999403953552,-1.0,1.0,1.0
1.0,-0.9999855756759644,-1.0,1.0,-1.0
-1.0,1.0,1.0,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0
1.0,-1.0,1.0,-1.0,-1.0
-1.0,-0.9999999403953552,-1.0,1.0,1.0
1.0,-1.0,-1.0,1.0,-1.0
-1.0,1.0,1.0,-1.0,-0.9999750256538391
1.0,-1.0,-1.0,-1.0,-0.9999999403953552
1.0,-1.0,1.0,-1.0,-1.0
-1.0,-0.9999999403953552,-1.0,1.0,1.0
1.0,-1.0,-1.0,1.0,-1.0
-1.0,1.0,1.0,-0.9999995231628418,-1.0
1.0,-0.9999992251396179,-1.0,-1.0,-1.0
1.0,-1.0,1.0,-1.0,-1.0
-1.0,-1.0,-1.0,1.0,1.0
0.9999999403953552,-0.999998927116394,-0.9988192319869995,0.9999910593032837,-0.46454375982284546
-0.9999998807907104,1.0,1.0,0.4539407193660736,-1.0
1.0,-1.0,-0.9999999403953552,-1.0,-1.0
1.0,-1.0,1.0,-0.9998900890350342,-1.0
0.9999784827232361,-0.9999995231628418,-0.9999998807907104,0.9991697669029236,0.9999998807907104
1.0,-1.0,-0.9999999403953552,0.999998927116394,-1.0
-1.0,1.0,1.0,-0.9999988079071045,-1.0
0.9999951720237732,-1.0,-1.0,-1.0,-0.9993124604225159
1.0,-0.9997649788856506,1.0,-1.0,-1.0
-0.9998795390129089,-0.9999997019767761,-0.9999999403953552,1.0,0.9999999403953552
1.0,-1.0,-1.0,0.9999986886978149,-1.0
-1.0,1.0,1.0,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0
1.0,-1.0,1.0,-1.0,-1.0
-0.9992532134056091,-0.9999997615814209,-0.9999999403953552,1.0,0.9999999403953552
1.0,-0.9998887777328491,-1.0,0.9999990463256836,-0.9999964833259583
-1.0,1.0,1.0,-1.0,-0.9999996423721313
1.0,0.9242002367973328,-1.0,-1.0,-1.0
1.0,-1.0,1.0,-1.0,-1.0
-0.9999118447303772,-0.9999998211860657,-0.9999999403953552,1.0,0.9999999403953552
1.0,-1.0,0.9555298089981079,0.999999463558197,-1.0
-1.0,1.0,1.0,-1.0,-1.0
0.9999995231628418,-0.9036229252815247,-1.0,-1.0,-1.0
1.0,-1.0,1.0,-1.0,-1.0
-0.9857177138328552,-0.9999998807907104,-0.9999999403953552,0.9999995231628418,0.9999999403953552
0.999650776386261,-1.0,-0.9999875426292419,0.9999995231628418,-0.9999923706054688
-1.0,1.0,0.9769812226295471,-1.0,-0.9999368786811829
1.0,-1.0,-1.0,-1.0,-0.9977903962135315
1.0,-1.0,1.0,-1.0,-1.0
-1.0,-0.9999999403953552,-1.0,1.0,1.0
1.0,-0.9999999403953552,0.9999958276748657,0.9999996423721313,-1.0
-1.0,1.0,1.0,-0.9999998807907104,-1.0
0.9999998807907104,-1.0,-1.0,-0.21635015308856964,-1.0
1.0,-1.0,1.0,-1.0,-1.0
-0.9994192123413086,-0.9999999403953552,-1.0,1.0,1.0
1.0,-0.9987913966178894,-1.0,0.9999996423721313,-1.0
-1.0,1.0,1.0,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0
1.0,0.999958336353302,1.0,-1.0,-1.0
-0.9997961521148682,-0.9999999403953552,-1.0,0.9999604225158691,1.0
1.0,0.9999998807907104,-0.9911885857582092,0.9999996423721313,-0.9999992251396179
-1.0,1.0,1.0,-1.0,-0.999946653842926
1.0,-1.0,-1.0,-1.0,-1.0
1.0,-1.0,1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-0.7410243153572083,1.0
1.0,-1.0,-0.9999993443489075,0.9999996423721313,-1.0
-1.0,1.0,1.0,-1.0,-1.0
0.9454175233840942,-0.9999718070030212,-1.0,-1.0,-1.0
1.0,-1.0,1.0,-1.0,-1.0
-0.999957263469696,-1.0,-1.0,-0.8571116924285889,1.0
1.0,-1.0,-1.0,0.9999996423721313,-1.0
-1.0,1.0,1.0,-1.0,-1.0
0.9869080185890198,-1.0,-1.0,-0.9999752044677734,-1.0
1.0,-1.0,1.0,-1.0,-1.0
-0.9999997019767761,-1.0,-1.0,1.0,1.0
-0.9987718462944031,-1.0,-1.0,0.9999997019767761,-1.0
-1.0,1.0,1.0,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0
1.0,-1.0,1.0,-1.0,-1.0
0.99958735704422,-1.0,-1.0,1.0,1.0
0.9999999403953552,-0.9999998807907104,-1.0,0.9999997615814209,-0.9993204474449158
-1.0,1.0,1.0,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,-0.9999596476554871
1.0,-1.0,1.0,-1.0,-1.0
-1.0,-1.0,-1.0,1.0,1.0
1.0,-0.999987781047821,-1.0,0.9999997615814209,-0.9999863505363464
-0.9999986290931702,1.0,1.0,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0
1.0,-0.9999994039535522,1.0,-1.0,-1.0
-1.0,-1.0,-1.0,1.0,1.0
1.0,0.8130354881286621,-0.9999972581863403,0.9999998211860657,-1.0
-1.0,1.0,1.0,-0.9999502301216125,-1.0
0.9999962449073792,-0.9859052896499634,-1.0,-1.0,-1.0
1.0,-1.0,1.0,-1.0,-1.0
-1.0,-1.0,-1.0,1.0,1.0
1.0,-0.9599765539169312,-0.5374873876571655,0.9999998211860657,-1.0
-0.9981603026390076,1.0,1.0,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,-0.992811381816864
1.0,-0.9999968409538269,1.0,-0.9999902248382568,-1.0
-1.0,-1.0,-1.0,1.0,1.0
1.0,-0.9999963045120239,-1.0,0.9999998211860657,-1.0
-1.0,1.0,1.0,-1.0,-1.0
1.0,-1.0,-1.0,-0.9999998211860657,-1.0
1.0,-1.0,1.0,-1.0,-1.0
-1.0,-1.0,-1.0,1.0,1.0
1.0,-1.0,-1.0,0.9999998807907104,-1.0
-1.0,1.0,1.0,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0
1.0,-1.0,1.0,-1.0,-1.0
-1.0,-1.0,-1.0,0.9999815821647644,1.0
1.0,-1.0,-1.0,0.9999998807907104,-1.0
-1.0,1.0,1.0,-1.0,-1.0
